Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        4     0.00     0.00  blood_group_validation(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        4     0.00     0.00  std::_Deque_base<receiver, std::allocator<receiver> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        4     0.00     0.00  std::_List_iterator<donor>::operator++(int)
  0.00      0.00     0.00        4     0.00     0.00  std::__cxx11::_List_base<donor, std::allocator<donor> >::_M_get_Node_allocator()
  0.00      0.00     0.00        4     0.00     0.00  std::__cxx11::_List_base<receiver, std::allocator<receiver> >::_M_get_Node_allocator()
  0.00      0.00     0.00        4     0.00     0.00  std::__cxx11::list<receiver, std::allocator<receiver> >::end()
  0.00      0.00     0.00        4     0.00     0.00  void (*&&std::forward<void (*)()>(std::remove_reference<void (*)()>::type&))()
  0.00      0.00     0.00        4     0.00     0.00  std::operator!=(std::_List_iterator<receiver> const&, std::_List_iterator<receiver> const&)
  0.00      0.00     0.00        3     0.00     0.00  __gthread_mutex_lock(pthread_mutex_t*)
  0.00      0.00     0.00        3     0.00     0.00  __gthread_mutex_unlock(pthread_mutex_t*)
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<receiver>::_M_max_size() const
  0.00      0.00     0.00        3     0.00     0.00  std::_Deque_base<receiver, std::allocator<receiver> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        3     0.00     0.00  std::thread::joinable() const
  0.00      0.00     0.00        3     0.00     0.00  std::_Head_base<0ul, std::thread::_State*, false>::_Head_base()
  0.00      0.00     0.00        3     0.00     0.00  std::_Head_base<1ul, std::default_delete<std::thread::_State>, true>::_Head_base()
  0.00      0.00     0.00        3     0.00     0.00  std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::unique_ptr<std::default_delete<std::thread::_State>, void>(std::thread::_State*)
  0.00      0.00     0.00        3     0.00     0.00  std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::~unique_ptr()
  0.00      0.00     0.00        3     0.00     0.00  std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_Tuple_impl()
  0.00      0.00     0.00        3     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<std::thread::_State> >::_Tuple_impl()
  0.00      0.00     0.00        3     0.00     0.00  std::_Deque_iterator<receiver, receiver&, receiver*>::operator++()
  0.00      0.00     0.00        3     0.00     0.00  std::__uniq_ptr_data<std::thread::_State, std::default_delete<std::thread::_State>, true, true>::__uniq_ptr_impl(std::thread::_State*)
  0.00      0.00     0.00        3     0.00     0.00  std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::__uniq_ptr_impl(std::thread::_State*)
  0.00      0.00     0.00        3     0.00     0.00  std::deque<receiver, std::allocator<receiver> >::end()
  0.00      0.00     0.00        3     0.00     0.00  std::mutex::lock()
  0.00      0.00     0.00        3     0.00     0.00  std::mutex::unlock()
  0.00      0.00     0.00        3     0.00     0.00  std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >::tuple<true, true>()
  0.00      0.00     0.00        3     0.00     0.00  std::thread::_State::_State()
  0.00      0.00     0.00        3     0.00     0.00  std::thread::~thread()
  0.00      0.00     0.00        3     0.00     0.00  std::__cxx11::_List_base<receiver, std::allocator<receiver> >::_M_clear()
  0.00      0.00     0.00        3     0.00     0.00  std::operator==(std::thread::id, std::thread::id)
  0.00      0.00     0.00        3     0.00     0.00  bool std::operator!=<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00        2     0.00     0.00  donor_registration()
  0.00      0.00     0.00        2     0.00     0.00  receiver_registration()
  0.00      0.00     0.00        2     0.00     0.00  medical_clearance_validation(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        2     0.00     0.00  blood_donation::operator=(blood_donation const&)
  0.00      0.00     0.00        2     0.00     0.00  donor::get_address[abi:cxx11]()
  0.00      0.00     0.00        2     0.00     0.00  donor::get_donor_data()
  0.00      0.00     0.00        2     0.00     0.00  donor::set_units_donated(int)
  0.00      0.00     0.00        2     0.00     0.00  donor::get_age[abi:cxx11]()
  0.00      0.00     0.00        2     0.00     0.00  donor::get_name[abi:cxx11]()
  0.00      0.00     0.00        2     0.00     0.00  receiver::get_receiver_data()
  0.00      0.00     0.00        2     0.00     0.00  receiver::operator=(receiver const&)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<receiver>::deallocate(receiver*, unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  void __gnu_cxx::new_allocator<receiver>::destroy<receiver>(receiver*)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<receiver>::allocate(unsigned long, void const*)
  0.00      0.00     0.00        2     0.00     0.00  void __gnu_cxx::new_allocator<receiver>::construct<receiver, receiver const&>(receiver*, receiver const&)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<receiver*>::new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<receiver*>::~new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<donor> >::deallocate(std::_List_node<donor>*, unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<donor> >::destroy<donor>(donor*)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<donor> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00        2     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<donor> >::construct<donor, donor const&>(donor*, donor const&)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<receiver> >::deallocate(std::_List_node<receiver>*, unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<receiver> >::destroy<receiver>(receiver*)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<receiver> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00        2     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<receiver> >::construct<receiver, receiver const&>(receiver*, receiver const&)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<donor> >::_M_max_size() const
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<receiver> >::_M_max_size() const
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_base<receiver, std::allocator<receiver> >::_M_get_map_allocator() const
  0.00      0.00     0.00        2     0.00     0.00  std::_List_iterator<receiver>::operator*() const
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<receiver*>::allocator<receiver>(std::allocator<receiver> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<receiver*>::~allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::_Head_base<0ul, void (*)(), false>::_M_head(std::_Head_base<0ul, void (*)(), false>&)
  0.00      0.00     0.00        2     0.00     0.00  std::_Head_base<0ul, void (*)(), false>::_Head_base(void (* const&)())
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_base<receiver, std::allocator<receiver> >::_M_allocate_node()
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_base<receiver, std::allocator<receiver> >::_M_deallocate_node(receiver*)
  0.00      0.00     0.00        2     0.00     0.00  std::_Tuple_impl<0ul, void (*)()>::_M_head(std::_Tuple_impl<0ul, void (*)()>&)
  0.00      0.00     0.00        2     0.00     0.00  std::_Tuple_impl<0ul, void (*)()>::_Tuple_impl(void (* const&)())
  0.00      0.00     0.00        2     0.00     0.00  std::_List_iterator<receiver>::operator++()
  0.00      0.00     0.00        2     0.00     0.00  std::_Deque_iterator<receiver, receiver&, receiver*>::_Deque_iterator()
  0.00      0.00     0.00        2     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<donor> > >::__allocated_ptr(std::allocator<std::_List_node<donor> >&, std::_List_node<donor>*)
  0.00      0.00     0.00        2     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<donor> > >::~__allocated_ptr()
  0.00      0.00     0.00        2     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<donor> > >::operator=(decltype(nullptr))
  0.00      0.00     0.00        2     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<receiver> > >::__allocated_ptr(std::allocator<std::_List_node<receiver> >&, std::_List_node<receiver>*)
  0.00      0.00     0.00        2     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<receiver> > >::~__allocated_ptr()
  0.00      0.00     0.00        2     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<receiver> > >::operator=(decltype(nullptr))
  0.00      0.00     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<receiver> >::deallocate(std::allocator<receiver>&, receiver*, unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  void std::allocator_traits<std::allocator<receiver> >::destroy<receiver>(std::allocator<receiver>&, receiver*)
  0.00      0.00     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<receiver> >::allocate(std::allocator<receiver>&, unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  void std::allocator_traits<std::allocator<receiver> >::construct<receiver, receiver const&>(std::allocator<receiver>&, receiver*, receiver const&)
  0.00      0.00     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<donor> > >::deallocate(std::allocator<std::_List_node<donor> >&, std::_List_node<donor>*, unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<donor> > >::destroy<donor>(std::allocator<std::_List_node<donor> >&, donor*)
  0.00      0.00     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<donor> > >::allocate(std::allocator<std::_List_node<donor> >&, unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<donor> > >::construct<donor, donor const&>(std::allocator<std::_List_node<donor> >&, donor*, donor const&)
  0.00      0.00     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<receiver> > >::deallocate(std::allocator<std::_List_node<receiver> >&, std::_List_node<receiver>*, unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<receiver> > >::destroy<receiver>(std::allocator<std::_List_node<receiver> >&, receiver*)
  0.00      0.00     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<receiver> > >::allocate(std::allocator<std::_List_node<receiver> >&, unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<receiver> > >::construct<receiver, receiver const&>(std::allocator<std::_List_node<receiver> >&, receiver*, receiver const&)
  0.00      0.00     0.00        2     0.00     0.00  std::deque<receiver, std::allocator<receiver> >::front()
  0.00      0.00     0.00        2     0.00     0.00  std::deque<receiver, std::allocator<receiver> >::pop_front()
  0.00      0.00     0.00        2     0.00     0.00  std::deque<receiver, std::allocator<receiver> >::push_back(receiver const&)
  0.00      0.00     0.00        2     0.00     0.00  std::tuple<void (*)()>::tuple<true, true>(void (* const&)())
  0.00      0.00     0.00        2     0.00     0.00  std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (*)()> > >::_State_impl<void (&)()>(void (&)())
  0.00      0.00     0.00        2     0.00     0.00  std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (*)()> > >::~_State_impl()
  0.00      0.00     0.00        2     0.00     0.00  std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> > std::thread::_S_make_state<std::thread::_Invoker<std::tuple<void (*)()> >, void (&)()>(void (&)())
  0.00      0.00     0.00        2     0.00     0.00  void std::thread::_Invoker<std::tuple<void (*)()> >::_M_invoke<0ul>(std::_Index_tuple<0ul>)
  0.00      0.00     0.00        2     0.00     0.00  std::thread::_Invoker<std::tuple<void (*)()> >::operator()()
  0.00      0.00     0.00        2     0.00     0.00  std::thread::thread<void (&)(), , void>(void (&)())
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::_List_base<donor, std::allocator<donor> >::_M_get_node()
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::_List_base<donor, std::allocator<donor> >::_M_inc_size(unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::_List_base<donor, std::allocator<donor> >::_M_put_node(std::_List_node<donor>*)
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::_List_base<donor, std::allocator<donor> >::_M_clear()
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::_List_base<receiver, std::allocator<receiver> >::_M_get_node()
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::_List_base<receiver, std::allocator<receiver> >::_M_inc_size(unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::_List_base<receiver, std::allocator<receiver> >::_M_put_node(std::_List_node<receiver>*)
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::_List_base<receiver, std::allocator<receiver> >::_M_init()
  0.00      0.00     0.00        2     0.00     0.00  std::_List_node<donor>* std::__cxx11::list<donor, std::allocator<donor> >::_M_create_node<donor const&>(donor const&)
  0.00      0.00     0.00        2     0.00     0.00  void std::__cxx11::list<donor, std::allocator<donor> >::_M_insert<donor const&>(std::_List_iterator<donor>, donor const&)
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::list<donor, std::allocator<donor> >::push_back(donor const&)
  0.00      0.00     0.00        2     0.00     0.00  std::_List_node<receiver>* std::__cxx11::list<receiver, std::allocator<receiver> >::_M_create_node<receiver const&>(receiver const&)
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::list<receiver, std::allocator<receiver> >::begin()
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::list<receiver, std::allocator<receiver> >::clear()
  0.00      0.00     0.00        2     0.00     0.00  void std::__cxx11::list<receiver, std::allocator<receiver> >::_M_insert<receiver const&>(std::_List_iterator<receiver>, receiver const&)
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::list<receiver, std::allocator<receiver> >::push_back(receiver const&)
  0.00      0.00     0.00        2     0.00     0.00  std::__detail::_List_node_header::_List_node_header()
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<std::_List_node<donor> >* std::__addressof<std::allocator<std::_List_node<donor> > >(std::allocator<std::_List_node<donor> >&)
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<std::_List_node<receiver> >* std::__addressof<std::allocator<std::_List_node<receiver> > >(std::allocator<std::_List_node<receiver> >&)
  0.00      0.00     0.00        2     0.00     0.00  void (*&std::__get_helper<0ul, void (*)()>(std::_Tuple_impl<0ul, void (*)()>&))()
  0.00      0.00     0.00        2     0.00     0.00  void std::__invoke_impl<void, void (*)()>(std::__invoke_other, void (*&&)())
  0.00      0.00     0.00        2     0.00     0.00  std::tuple_element<0ul, std::tuple<void (*)()> >::type&& std::get<0ul, void (*)()>(std::tuple<void (*)()>&&)
  0.00      0.00     0.00        2     0.00     0.00  std::tuple_element<0ul, std::tuple<void (*)()> >::type& std::get<0ul, void (*)()>(std::tuple<void (*)()>&)
  0.00      0.00     0.00        2     0.00     0.00  std::remove_reference<std::tuple<int (receiver::*)(), receiver>&>::type&& std::move<std::tuple<int (receiver::*)(), receiver>&>(std::tuple<int (receiver::*)(), receiver>&)
  0.00      0.00     0.00        2     0.00     0.00  std::remove_reference<std::tuple<void (*)()>&>::type&& std::move<std::tuple<void (*)()>&>(std::tuple<void (*)()>&)
  0.00      0.00     0.00        2     0.00     0.00  void (*&&std::forward<void (*&&)()>(std::remove_reference<void (*&&)()>::type&))()
  0.00      0.00     0.00        2     0.00     0.00  std::__invoke_result<void (*)()>::type std::__invoke<void (*)()>(void (*&&)())
  0.00      0.00     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z1lB5cxx11
  0.00      0.00     0.00        1     0.00     0.00  manage_donor_menu()
  0.00      0.00     0.00        1     0.00     0.00  donor_file_to_list()
  0.00      0.00     0.00        1     0.00     0.00  list_to_donor_file()
  0.00      0.00     0.00        1     0.00     0.00  report_corner_menu()
  0.00      0.00     0.00        1     0.00     0.00  employee_validation()
  0.00      0.00     0.00        1     0.00     0.00  list_to_transaction_file()
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  submenu()
  0.00      0.00     0.00        1     0.00     0.00  blood_donation::blood_donation(blood_donation&&)
  0.00      0.00     0.00        1     0.00     0.00  donor::edit_donor_data()
  0.00      0.00     0.00        1     0.00     0.00  donor::view_donor_data()
  0.00      0.00     0.00        1     0.00     0.00  donor::remove_donor_data()
  0.00      0.00     0.00        1     0.00     0.00  donor::view_all_donor_data()
  0.00      0.00     0.00        1     0.00     0.00  donor::five_highest_donor_report()
  0.00      0.00     0.00        1     0.00     0.00  receiver::carry_out_donation()
  0.00      0.00     0.00        1     0.00     0.00  receiver::view_receiver_queue()
  0.00      0.00     0.00        1     0.00     0.00  receiver::daily_donation_report()
  0.00      0.00     0.00        1     0.00     0.00  receiver::remove_daily_transaction_file()
  0.00      0.00     0.00        1     0.00     0.00  receiver::receiver(receiver&&)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<receiver>::new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<receiver>::~new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<receiver*>::deallocate(receiver**, unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<receiver*>::allocate(unsigned long, void const*)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<donor> >::new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<donor> >::~new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<receiver> >::new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<receiver> >::~new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<receiver>::max_size() const
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<receiver*>::_M_max_size() const
  0.00      0.00     0.00        1     0.00     0.00  std::_List_const_iterator<donor>::_M_const_cast() const
  0.00      0.00     0.00        1     0.00     0.00  std::deque<receiver, std::allocator<receiver> >::size() const
  0.00      0.00     0.00        1     0.00     0.00  std::deque<receiver, std::allocator<receiver> >::max_size() const
  0.00      0.00     0.00        1     0.00     0.00  std::__cxx11::list<receiver, std::allocator<receiver> >::empty() const
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<receiver>::allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<receiver>::~allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<std::_List_node<donor> >::allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<std::_List_node<donor> >::~allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<std::_List_node<receiver> >::allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<std::_List_node<receiver> >::~allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::_Head_base<0ul, int (receiver::*)(), false>::_M_head(std::_Head_base<0ul, int (receiver::*)(), false>&)
  0.00      0.00     0.00        1     0.00     0.00  std::_Head_base<0ul, int (receiver::*)(), false>::_Head_base<int (receiver::*)()>(int (receiver::*&&)())
  0.00      0.00     0.00        1     0.00     0.00  std::_Head_base<1ul, receiver, false>::_M_head(std::_Head_base<1ul, receiver, false>&)
